subject_id,best_channel,sdrr_ch0,long_ibi_threshold_ch0,rmssd_ch0,pnn50_ch0,consistency_ch0,total_score_ch0,sdrr_ch1,long_ibi_threshold_ch1,rmssd_ch1,pnn50_ch1,consistency_ch1,total_score_ch1,sdrr_ch2,long_ibi_threshold_ch2,rmssd_ch2,pnn50_ch2,consistency_ch2,total_score_ch2,best_sdrr,best_long_ibi_threshold,best_rmssd,best_pnn50,best_consistency,best_total_score
60,ch0,115.3731444,3,161.7598392,8.35443038,64.0567215,100.3727312,120.3716731,7,173.2806657,9.32642487,63.86295456,106.9310823,215.6191136,7,299.7371493,9.239130435,73.57859079,148.7095645,115.3731444,3,161.7598392,8.35443038,64.0567215,100.3727312
61,ch0,77.561463,0,101.1965943,40.89635854,60.98834137,67.50332794,69.85251566,0,82.60038754,18.43575419,61.66925305,81.00369784,109.0309382,3,135.4712832,23.14285714,65.05982906,100.7836971,77.561463,0,101.1965943,40.89635854,60.98834137,67.50332794
62,ch0,28.65653899,0,27.73721707,9.633027523,12.3014816,22.27289829,39.5237995,0,46.21820117,0.69124424,10.28505747,26.35413427,27.55869064,0,22.61079998,0.689655172,10.69458505,26.60304811,28.65653899,0,27.73721707,9.633027523,12.3014816,22.27289829
63,ch1,134.8803211,4,184.2350581,49.01477833,134.2475609,160.5029639,154.1780405,5,207.9269397,53.06122449,113.2475609,146.9315193,168.3012958,7,225.9579549,52.98701299,115.9404145,158.7692263,154.1780405,5,207.9269397,53.06122449,113.2475609,146.9315193
64,ch1,,,,,10064.40909,,215.5177277,5,220.8840306,8.262108262,5071.702167,5182.646825,282.2697877,6,311.458541,8.163265306,5071.747622,5206.206506,215.5177277,5,220.8840306,8.262108262,5071.702167,5182.646825
65,ch0,58.42190352,1,80.84890509,20.90909091,44.8591091,54.40201462,103.967555,2,142.144787,11.42857143,51.26603325,82.44690904,56.14639143,1,77.46061227,5.949656751,43.50281456,59.94407148,58.42190352,1,80.84890509,20.90909091,44.8591091,54.40201462
66,ch0,48.18751336,0,65.33781057,6.434316354,34.71291209,47.01436198,106.4871503,4,151.3063319,6.336088154,38.9532967,74.61923698,85.53066519,1,112.6815156,8.539944904,36.80631868,63.7262536,48.18751336,0,65.33781057,6.434316354,34.71291209,47.01436198
68,ch1,,,,,5754,,24.36247829,0,26.3562229,0.72815534,2886.392389,2897.212678,93.36410284,3,124.1562322,10.75,2904.522823,2936.43381,24.36247829,0,26.3562229,0.72815534,2886.392389,2897.212678
69,ch1,332.6970533,18,387.311888,49.2795389,142.9022989,293.3036387,214.6672749,8,211.4775786,13.50649351,120.6639154,238.8391542,278.9906596,8,256.9449695,14.13333333,120.9139154,280.3654236,214.6672749,8,211.4775786,13.50649351,120.6639154,238.8391542
71,ch0,26.46313875,0,28.93646213,8.695652174,139.5966905,147.2437721,,,,,196.737785,,,,,,169.8621628,,26.46313875,0,28.93646213,8.695652174,139.5966905,147.2437721
72,ch2,41.64615121,0,30.24842049,8.26446281,19.17213115,41.5618407,54.81267243,0,43.52076413,8.130081301,18.3589231,47.34617281,47.38823211,0,36.76085766,7.37704918,15.23597228,40.55525097,47.38823211,0,36.76085766,7.37704918,15.23597228,40.55525097
74,ch0,179.4422841,8,244.5352022,19.47674419,105.9446629,169.3809739,219.1297496,11,280.2777501,16.91394659,106.9038774,199.4377787,254.2922943,13,324.6475151,21.81818182,124.0438066,231.1032525,179.4422841,8,244.5352022,19.47674419,105.9446629,169.3809739
75,ch0,117.3397633,3,150.8334826,12.10526316,109.1693754,151.0397658,167.3318207,8,212.8485918,9.214092141,111.7563319,184.0568106,,,,,162.5635452,,117.3397633,3,150.8334826,12.10526316,109.1693754,151.0397658
76,ch0,279.3929195,13,358.4372293,40,247.969074,354.1433788,366.0389847,14,468.8112252,47.36842105,235.4660619,371.4152234,,,,,243.0572289,,279.3929195,13,358.4372293,40,247.969074,354.1433788
77,ch0,61.91526464,1,81.43639746,28.18930041,30.92505133,40.02746704,72.67944242,1,95.36985811,2.663934426,21.06366763,46.72621378,57.15631538,1,61.62385902,2.459016393,18.85524874,45.97012641,61.91526464,1,81.43639746,28.18930041,30.92505133,40.02746704
78,ch0,98.6176606,1,119.7732164,12.98701299,413.2459937,447.4835396,,,,,524.0901639,,,,,,435.4509118,,98.6176606,1,119.7732164,12.98701299,413.2459937,447.4835396
79,ch0,224.7353254,7,295.7304561,40.21164021,283.3343146,354.0985918,,,,,296.9622216,,,,,,368.8914729,,224.7353254,7,295.7304561,40.21164021,283.3343146,354.0985918
80,ch2,62.85972037,0,81.78554273,24.31818182,38.9569161,48.76477419,38.02004853,0,44.04692068,3.619909502,31.65274899,45.83938242,36.65816347,0,47.65827275,31.99105145,38.44186463,35.275366,36.65816347,0,47.65827275,31.99105145,38.44186463,35.275366
81,ch0,180.5356061,3,252.3619295,44.92753623,112.5371692,150.4280425,186.2970406,4,269.0517532,35.48387097,111.0128247,153.0420533,212.4588272,5,296.340747,37.21804511,110.1348315,165.8142626,180.5356061,3,252.3619295,44.92753623,112.5371692,150.4280425
82,ch0,24.61990369,0,16.43546239,2.073732719,50.8510957,66.21640184,141.1516886,3,195.2588275,9.466019417,60.01018661,104.7994518,160.5494418,8,203.5206145,13.16455696,69.33585859,137.5427147,24.61990369,0,16.43546239,2.073732719,50.8510957,66.21640184
84,ch1,149.9940761,8,204.9289007,15.12605042,83.07706805,139.0436686,115.8660383,5,151.8754957,6.371191136,79.04694757,125.7896425,235.3697841,10,328.0463824,19.03323263,97.86144578,179.6914223,115.8660383,5,151.8754957,6.371191136,79.04694757,125.7896425
85,ch0,622.9175424,32,776.1589025,77.7027027,639.9481088,899.9348486,,,,,670.1896552,,,,,,664.6291433,,622.9175424,32,776.1589025,77.7027027,639.9481088,899.9348486
86,ch1,35.53633525,0,37.55521898,2.763819095,23.43107769,38.80789391,30.98131285,0,25.52057993,3,13.05683161,29.77785449,32.90753374,0,29.42177591,3.241895262,13.69843562,30.27413377,30.98131285,0,25.52057993,3,13.05683161,29.77785449
87,ch0,159.0623663,5,222.3730643,48.4057971,194.3265743,227.9995099,,,,,237.6696113,,271.8144863,9,366.623642,75,232.0915919,301.0942572,159.0623663,5,222.3730643,48.4057971,194.3265743,227.9995099
88,ch0,196.9490518,6,224.8177944,19.66101695,314.645012,401.3546581,,,,,327.2305383,,,,,,486.9934211,,196.9490518,6,224.8177944,19.66101695,314.645012,401.3546581
89,ch1,,,,,1384.095238,,62.22476454,0,68.19135287,10.3030303,739.4293478,762.4069208,192.4234608,8,256.7934694,34.89932886,751.2745859,813.8516476,62.22476454,0,68.19135287,10.3030303,739.4293478,762.4069208
90,ch0,47.80579674,0,55.51341003,18.34170854,1979.105199,1989.983436,30.0352927,0,20.63756504,1.262626263,1986.063532,2005.148729,,,,,3939.486111,,47.80579674,0,55.51341003,18.34170854,1979.105199,1989.983436
